Title,Price,Description,short_description,key_word,target_reader,publisher,buy_url,isbn,publication_year,book_edition,number_of_pages,book_language,country_origin,file_type,file_url,embed_code,is_private,is_active,password,"Start Date"
"Spider-Man: Far From Home",,"<h2>What is Lorem Ipsum?</h2>
<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum</p>","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",,,"Jon Watts",,978-3-16-148410-0,2019,,,,,upload,,,,1,admin123,"2019-07-22 13:02:20"
"101 Animals Stories",,"<p>101 Animals Stories- the ebook featuring zoological garden of animals- crocodiles, bears, fish, wolves, lions, tigers, monkeys and more&mdash;to delight children with their exciting tricks and adventures. Each story woven a simple language and supported with stately illustrations imparts valuable life-lessons.</p>","101 Animals Stories- the ebook featuring zoological garden of animals",,,"Dreamland Publications",,978-3-18-15453-0,2019,,,,,upload,,,,1,,"2019-07-23 06:58:50"
"The Eternals",$20,"<p>You are thousands of years old. You have amazing powers. You have watched civilizations rise and fall. So why does no one remember any of this? Bestselling Author Neil Gaiman (Marvel: 1602, Anansi Boys, Sandman) is joined by superstar artist John Romita Jr. (Amazing Spider-Man, Wolverine) to present a tale that will change the Eternals and the Marvel Universe forever! Collects Eternals (2006) #1-7.</p>","You are thousands of years old. You have amazing powers. You have watched civilizations rise and fall",,,John,#,896-3-16-458236-0,2012,,,,,upload,,,,1,,"2019-07-23 09:45:38"
"Mighty Thor",$20,"<p>When Dr. Jane Foster lifts the mystic hammer Mjolnir, she is transformed into the Goddess of Thunder, the Mighty Thor! Her enemies are many as Asgard descends further into chaos, and unrest threatens to spread throughout the Ten Realms. Yet she wages her greatest battle against a far more personal foe: the cancer killing her mortal form. When Loki steps back into Thor's life, will it ease her troubles or only add to her pain? There's no such question about Malekith as he continues to fan the flames of a looming War of Realms &mdash; when he isn't wedding planning, that is! And as Asgard is torn apart, the skies will shake in one of the bloodiest battles of all time: It's Thor vs. Odin like never before!</p>","When Dr. Jane Foster lifts the mystic hammer Mjolnir, she is transformed into the Goddess of Thunder, the Mighty Thor!",,,"Jason Aaron",#,652-3-16-789123-0,2015,,,,,upload,,,,1,,"2019-07-23 09:49:48"
"Secret Wars",$250,"<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",,,"Jonathan Hickman",#,652-3-16-895623-0,2016,,,,,upload,,,,1,,"2019-07-23 09:54:02"
"Batman: Last Knight on Earth",,"<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",,,"Scott Snyder & Greg Capullo",,123-3-16-452178-0,2019,,,,,upload,,,,1,,"2019-07-23 10:00:29"
"Star Wars: Darth Vader: Dark Lord Of The Sith",,"<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",,,"Charles Soule",,753-3-16-951235-0,2017,,,,,upload,,,,1,,"2019-07-23 10:03:07"
"Batman: Damned",,"<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",,,"Brian Azzarello & Lee Bermejo",,014-3-16-569874-0,2019,,,,,upload,,,,1,,"2019-07-23 10:10:29"
"Article 5",$300,"<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>
<p>&nbsp;</p>
<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>
<p>&nbsp;</p>
<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",,,"Kristen Simmons",#,987-3-16-152036-0,2012,,,,,upload,,,,1,,"2019-07-23 10:23:10"
"My First Book of Patterns Capital Letters",$10,"<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>
<p>&nbsp;</p>
<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</p>","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",,,"Wonder House Books",#,983-3-16-452178-0,2018,,,,,upload,,,,1,,"2019-07-23 10:31:55"
